Mark,Wind,Competitor,DOB,Country,Venue,Date
45.94,,Karsten WARHOLM,28 FEB 1996,NOR,"Olympic Stadium, Tokyo (JPN)",03 AUG 2021
46.70,,Karsten WARHOLM,28 FEB 1996,NOR,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
46.78,,Kevin YOUNG,16 SEP 1966,USA,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992
47.02,,Edwin MOSES,31 AUG 1955,USA,Koblenz (GER),31 AUG 1983
47.13,,Edwin MOSES,31 AUG 1955,USA,Milano (ITA),03 JUL 1980
47.45,,Edwin MOSES,31 AUG 1955,USA,"Westwood, CA (USA)",11 JUN 1977
47.64,,Edwin MOSES,31 AUG 1955,USA,"Olympic Stadium, Montréal (CAN)",25 JUL 1976
47.82,,John AKII-BUA,03 DEC 1949,UGA,"Olympiastadion, München (GER)",02 SEP 1972
48.12,,David HEMERY,18 JUL 1944,GBR,"Estadio Olímpico, Ciudad de México (MEX)",15 OCT 1968
48.94,,Geoff VANDERSTOCK,08 OCT 1946,USA,Echo Summit (USA),11 SEP 1968
49.1h,,Rex CAWLEY,06 JUL 1940,USA,"Los Angeles, CA (USA)",13 SEP 1964
49.2h,,Salvatore MORALE,04 NOV 1938,ITA,Beograd (SRB),14 SEP 1962
49.2h,,Glenn DAVIS,12 SEP 1934,USA,Budapest (HUN),06 AUG 1958
49.5h,,Glenn DAVIS,12 SEP 1934,USA,"Los Angeles, CA (USA)",29 JUN 1956
50.4h,,Yuriy LITUYEV,11 APR 1925,URS,Budapest (HUN),20 SEP 1953
50.6h,,Glenn HARDIN,01 JUL 1910,USA,Stockholm (SWE),26 JUL 1934
51.8h,,Glenn HARDIN,01 JUL 1910,USA,"Milwaukee, WI (USA)",30 JUN 1934
52.0h,,Glenn HARDIN,01 JUL 1910,USA,"Memorial Coliseum, Los Angeles, CA (USA)",01 AUG 1932
52.0h,,F. Morgan TAYLOR,17 APR 1903,USA,"Philadelphia, PA (USA)",04 JUL 1928
52.6h  y,,John GIBSON,03 JUL 1905,USA,"Lincoln, NE (USA)",02 JUL 1927
53.8h,,Sten PETTERSSON,11 SEP 1902,SWE,Colombes (FRA),04 OCT 1925
54.0h,,Frank LOOMIS,22 AUG 1896,USA,"Champs de Beerschot Stadium, Antwerpen (BEL)",16 AUG 1920
55.0h,,Charles BACON,09 JAN 1885,USA,"White City Stadium, London (GBR)",22 JUL 1908
